marcaespana,2
market,2
mary,2
master,2
medic,2
medo,2
member,2
mention,2
messag,2
meu,2
miedo,2
might,2
mira,2
misstep,2
momento,2
money,2
month,2
morn,2
morrendo,2
moscow,2
mr,2
musica,2
nada,2
nasa,2
neighbor,2
neocon,2
new_jersey,2
new_mexico,2
nice,2
noch,2
nomin,2
none,2
noticia,2
np,2
nuevo,2
number,2
nytim,2
obviou,2
oct,2
od,2
offer,2
office,2
oil,2
okay,2
ol,2
omg,2
oper,2
orang,2
ostukrain,2
outlin,2
page,2
pain,2
panel,2
parent,2
pary,2
pasien,2
passeng,2
passion,2
pegar,2
penyebaran,2
per,2
perry,2
personn,2
philly,2
photography,2
photoset,2
piada,2
pienso,2
plane,2
platinum,2
plea,2
popul,2
port,2
potenty,2
pour,2
prepar,2
preparado,2
priority,2
process,2
profil,2
promot,2
prosecut,2
protest,2
push,2
putain,2
quarantin,2
quero,2
quick,2
quot,2
race,2
raf,2
rally,2
ray,2
reach,2
rebel,2
record,2
remind,2
renew,2
resign,2
resist,2
ria,2
risco,2
risk,2
river,2
rn,2
robot,2
rp,2
rude,2
ruiz,2
rule,2
russland,2
sabe,2
safe,2
saia,2
sale,2
scienc,2
scientist,2
scrambl,2
scream,2
season,2
seek,2
seguir,2
semit,2
separatist,2
set,2
seven,2
sever,2
share,2
shot,2
sim,2
sister,2
site,2
skate,2
sloviansk,2
sm,2
soccer,2
soon,2
soy,2
spain,2
spirit,2
squar,2
stand,2
standoff,2
star,2
stay,2
stock,2
street,2
strong,2
sue,2
suicid,2
sun,2
sunday,2
sunny,2
sur,2
sure,2
suspeito,2
system,2
ta,2
tahun,2
tak,2
target,2
telegraph,2
tem,2
templ,2
teresa,2
terrorist,2
though,2
thousand,2
through,2
tidak,2
tien,2
tire,2
tm,2
tn,2
togeth,2
ton,2
tonto,2
tornado,2
trend,2
troy,2
tru,2
tryna,2
tuesday,2
tweet,2
uae,2
unico,2
unit,2
unless,2
uno,2
uranium,2
vecino,2
veo,2
ver,2
viajou,2
visit,2
voter,2
vou,2
vp,2
walk,2
wanna,2
warm,2
washington,2
wasn,2
weapon,2
wear,2
went,2
whatev,2
wife,2
won,2
worth,2
wow,2
ww,2
xddd,2
xeancia,2
xedru,2
yad,2
yall,2
yang,2
yesterday,2
yz,2
zomby,2
a_matsumoto,1
aaahhh,1
aann,1
ab,1
abandon,1
abassador,1
abba,1
abcnew,1
abduct,1
abortion,1
abpcmzfu,1
absoluta,1
abubakrpro,1
abund,1
accept,1
account,1
accu,1
accuracy,1
accuse,1
aceptarla,1
achmetov,1
acho,1
acionada,1
activa,1
active,1
actonclima,1
acuerdo,1
adapt,1
add,1
address,1
adelant,1
adentro,1
adhaelfindra,1
adityarajkaul,1
administr,1
adpm,1
adviser,1
advy,1
aenaajh,1
aesrw,1
aex,1
afeta,1
afifahhsnl,1
afrika,1
afriqu,1
afrkdg,1
afternoon,1
afw_mbay,1
agarra,1
agent,1
aggress,1
ago,1
agustin,1
ah,1
ahaaha,1
ahahahahaha,1
ahead,1
ahh,1
ahtijaj,1
aint,1
airborn,1
aircraft,1
airspac,1
aizjvcdqsv,1
aj,1
ajamm,1
ajapiquian,1
ako,1
aky,1
ala,1
alam,1
alarabiya_eng,1
alay,1
alcorcon,1
aldia,1
alejandrocorzo,1
alex,1
alexadeang,1
alexmary,1
